,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
210,2011,Fall,CALS,A E,170,ENG GRPHC&INTRO DSN,54,3,6
226,2011,Fall,CALS,A E,201,SMNR:PREP FOR WRKPL,17,1,6
247,2011,Fall,CALS,A E,216,FND AG &BIOSYS ENGR,26,5,19
269,2011,Fall,CALS,A E,271,PARAM SLD MODEL ENG,21,1,5
291,2011,Fall,CALS,A E,272,PRO/ENG MOD&ASSEMBL,20,4,20
308,2011,Fall,CALS,A E,316,APPLD NUMRCL METHDS,23,1,4
313,2011,Fall,CALS,A E,325,BIORENEWABLE SYSTMS,14,0,0
324,2011,Fall,CALS,A E,340,ANALY&DS FIELD MACH,24,1,4
346,2011,Fall,CALS,A E,363,ELEC POWR&ELECTRONC,28,0,0
353,2011,Fall,CALS,A E,388,SUSTNBL E&INT'L DEV,3,0,0
380,2011,Fall,CALS,A E,404,A B E INSTRUMENTATN,38,1,3
388,2011,Fall,CALS,A E,408,GIS &NAT RESRCE MGT,5,4,80
406,2011,Fall,CALS,A E,413,FLUID POWER ENGR,39,1,3
423,2011,Fall,CALS,A E,415,AGRIC ENGR DESIGN I,26,0,0
445,2011,Fall,CALS,A E,416,AG ENGR DESIGN II,8,0,0
468,2011,Fall,CALS,A E,431,SOIL&WTR CONSRVSYS,14,2,14
537,2011,Fall,CALS,A E,490F,IND STUDY FOOD ENGR,1,0,0
585,2011,Fall,CALS,A E,490S,IND STU ENVIR&N RES,2,0,0
622,2011,Fall,CALS,A ECL,312,ECOLOGY,88,24,27
683,2011,Fall,CALS,A ECL,365,VERTEBRATE BIOLOGY,118,42,36
708,2011,Fall,CALS,A ECL,371,ECOLOGICAL METHODS,27,4,15
743,2011,Fall,CALS,A ECL,418,STREAM ECOLOGY,13,1,8
763,2011,Fall,CALS,A ECL,440,FISHERY MANAGEMENT,11,0,0
794,2011,Fall,CALS,A ECL,451,WILDLIFE ECOL &MGMT,34,1,3
867,2011,Fall,CALS,A ECL,486,AQUATIC ECOLOGY,15,4,27
884,2011,Fall,CALS,A ECL,486L,AQUATIC ECOLOGY LAB,14,2,14
