,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
211,2012,Fall,CALS,A E,170,ENG GRPHC&INTRO DSN,53,1,2
228,2012,Fall,CALS,A E,201,SMNR:PREP FOR WRKPL,22,0,0
249,2012,Fall,CALS,A E,216,FND AG &BIOSYS ENGR,48,7,15
271,2012,Fall,CALS,A E,271,PARAM SLD MODEL ENG,11,1,9
293,2012,Fall,CALS,A E,272,PRO/ENG MOD&ASSEMBL,12,2,17
309,2012,Fall,CALS,A E,316,APPLD NUMRCL METHDS,29,2,7
314,2012,Fall,CALS,A E,325,BIORENEWABLE SYSTMS,3,0,0
325,2012,Fall,CALS,A E,340,ANALY&DS FIELD MACH,19,1,5
347,2012,Fall,CALS,A E,363,ELEC POWR&ELECTRONC,38,2,5
354,2012,Fall,CALS,A E,388,SUSTNBL E&INT'L DEV,5,0,0
381,2012,Fall,CALS,A E,404,A B E INSTRUMENTATN,32,0,0
389,2012,Fall,CALS,A E,408,GIS &NAT RESRCE MGT,6,1,17
397,2012,Fall,CALS,A E,411,BIOPROCES&BIOPRODCT,2,0,0
407,2012,Fall,CALS,A E,413,FLUID POWER ENGR,21,1,5
425,2012,Fall,CALS,A E,415,AGRIC ENGR DESIGN I,15,0,0
447,2012,Fall,CALS,A E,416,AG ENGR DESIGN II,6,0,0
469,2012,Fall,CALS,A E,431,SOIL&WTR CONSRVSYS,14,0,0
484,2012,Fall,CALS,A E,451,FOOD&BIOPROCES ENGR,7,0,0
558,2012,Fall,CALS,A E,490P,IND STDY POWER ENGR,1,0,0
564,2012,Fall,CALS,A E,490Q,IND STDY STRUCTURES,1,0,0
587,2012,Fall,CALS,A E,490S,IND STU ENVIR&N RES,1,0,0
624,2012,Fall,CALS,A ECL,312,ECOLOGY,85,25,29
684,2012,Fall,CALS,A ECL,365,VERTEBRATE BIOLOGY,110,28,25
709,2012,Fall,CALS,A ECL,371,ECOLOGICAL METHODS,32,1,3
738,2012,Fall,CALS,A ECL,415,ECOL FRSHWTR INVERT,19,3,16
764,2012,Fall,CALS,A ECL,440,FISHERY MANAGEMENT,14,3,21
795,2012,Fall,CALS,A ECL,451,WILDLIFE ECOL &MGMT,25,0,0
816,2012,Fall,CALS,A ECL,455,INT'L WILDLIFE ISSU,25,1,4
869,2012,Fall,CALS,A ECL,486,AQUATIC ECOLOGY,29,9,31
885,2012,Fall,CALS,A ECL,486L,AQUATIC ECOLOGY LAB,16,4,25
1343,2012,Fall,BUS,ACCT,215,LEGAL ENVIRONMT BUS,460,40,9
1389,2012,Fall,BUS,ACCT,284,FINANCIAL ACCOUNTNG,1122,208,19
1438,2012,Fall,BUS,ACCT,285,MANAGERIAL ACCOUNTG,500,73,15
1465,2012,Fall,BUS,ACCT,301,THE ACCOUNTNG CYCLE,182,38,21
1503,2012,Fall,BUS,ACCT,316,BUSINESS LAW,14,0,0
1535,2012,Fall,BUS,ACCT,383,INTMD MANAGERL ACCT,129,20,16
1573,2012,Fall,BUS,ACCT,384,ACCT INFO SYSTEMS,152,20,13
1613,2012,Fall,BUS,ACCT,386,INTMED ACCOUNTING I,105,10,10
1649,2012,Fall,BUS,ACCT,387,INTMD ACCOUNTING II,145,28,19
1673,2012,Fall,BUS,ACCT,484,ADV ACCT INFO SYSTM,17,0,0
1699,2012,Fall,BUS,ACCT,485,PRIN FED INCOME TAX,137,47,34
1738,2012,Fall,BUS,ACCT,488,NONPROFIT INST ACCT,15,0,0
1785,2012,Fall,BUS,ACCT,495,ADV ACCT PROBLEMS,17,3,18
1799,2012,Fall,BUS,ACCT,496,INTERNATIONAL ACCT,11,0,0
1842,2012,Fall,BUS,ACCT,497,INTRO TO AUDITING,73,15,21
1888,2012,Fall,LAS,ADVRT,230,ADVERTISING PRINCIP,215,24,11
1925,2012,Fall,LAS,ADVRT,301,STRATEG PLAN AD&P.R,72,2,3
