,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
7,2015,Fall,CALS,A B E,160,SYST PROB SOLV&PROG,76,8,11
15,2015,Fall,CALS,A B E,170,ENG GRPHC&INTRO DSN,82,7,9
23,2015,Fall,CALS,A B E,201,SMNR:PREP FOR WRKPL,9,0,0
31,2015,Fall,CALS,A B E,216,FND AG &BIOSYS ENGR,82,14,17
39,2015,Fall,CALS,A B E,271,PARAM SLD MODEL ENG,16,2,13
47,2015,Fall,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,13,5,38
60,2015,Fall,CALS,A B E,316,APPLD NUMRCL METHDS,32,1,3
67,2015,Fall,CALS,A B E,325,BIORENEWABLE SYSTMS,24,0,0
71,2015,Fall,CALS,A B E,340,ANALY&DS FIELD MACH,23,0,0
79,2015,Fall,CALS,A B E,363,ELEC POWR&ELECTRONC,38,0,0
89,2015,Fall,CALS,A B E,388,SUSTNBL E&INT'L DEV,9,0,0
95,2015,Fall,CALS,A B E,404,A B E INSTRUMENTATN,52,0,0
103,2015,Fall,CALS,A B E,413,FLUID POWER ENGR,31,1,3
107,2015,Fall,CALS,A B E,415,AG&BIOSY ENGR DSN I,37,0,0
115,2015,Fall,CALS,A B E,416,AG&BIOSY ENG DSN II,17,0,0
122,2015,Fall,CALS,A B E,418,FUND ENGINRG REVIEW,16,3,19
137,2015,Fall,CALS,A B E,431,SOIL&WTR CONSRV SYS,16,1,6
146,2015,Fall,CALS,A B E,451,FOOD&BIOPROCES ENGR,9,0,0
165,2015,Fall,CALS,A B E,480,ENGR ANALY BIOL SYS,14,0,0
178,2015,Fall,CALS,A B E,490H,INDEP STUDY HONORS,1,0,0
630,2015,Fall,CALS,A ECL,312,ECOLOGY,127,30,24
657,2015,Fall,CALS,A ECL,333X,FISHERIES TECHNOLGY,12,0,0
687,2015,Fall,CALS,A ECL,365,VERTEBRATE BIOLOGY,148,40,27
745,2015,Fall,CALS,A ECL,418,STREAM ECOLOGY,11,0,0
767,2015,Fall,CALS,A ECL,440,FISHERY MANAGEMENT,11,1,9
798,2015,Fall,CALS,A ECL,451,WILDLIFE ECOL &MGMT,25,0,0
820,2015,Fall,CALS,A ECL,457,HERPETOLOGY,36,1,3
824,2015,Fall,CALS,A ECL,457L,HERPETOLOGY LAB,35,0,0
874,2015,Fall,CALS,A ECL,486,AQUATIC ECOLOGY,19,12,63
888,2015,Fall,CALS,A ECL,486L,AQUATIC ECOLOGY LAB,14,3,21
900,2015,Fall,H SCI,A M D,131,OVRVIEW FASHION IND,188,14,7
908,2015,Fall,H SCI,A M D,165,DRESS&DIVRSTY SOCIE,299,10,3
917,2015,Fall,H SCI,A M D,178,INTR APPRL DSN STDO,35,2,6
927,2015,Fall,H SCI,A M D,204,TEXTILE SCIENCE,103,16,16
939,2015,Fall,H SCI,A M D,210,CPR APP DIGTL DSIGN,67,18,27
949,2015,Fall,H SCI,A M D,221,APPARL ASSEMBL PROC,33,4,12
955,2015,Fall,H SCI,A M D,225,PATTRNMAK I:DRFT&FL,31,7,23
965,2015,Fall,H SCI,A M D,231,PRODUCT DEVELOP&MFG,72,3,4
975,2015,Fall,H SCI,A M D,245,AESTHETC&BRAND IMAG,101,16,16
984,2015,Fall,H SCI,A M D,257,MUSEUM STUDIES,20,4,20
994,2015,Fall,H SCI,A M D,278,FASHION ILLUSTRATN,19,1,5
1004,2015,Fall,H SCI,A M D,301,BASC DSGN CNCP REVW,9,3,33
1009,2015,Fall,H SCI,A M D,305,TEXTL&AP QUAL ASSUR,12,0,0
1026,2015,Fall,H SCI,A M D,325,PATTRNMAK II:DRAPNG,13,2,15
1041,2015,Fall,H SCI,A M D,329X,DIGTL TXTLE PRINTNG,17,1,6
1048,2015,Fall,H SCI,A M D,354,HIST EUR&N AM DRESS,70,5,7
1070,2015,Fall,H SCI,A M D,372,SOURCNG&GLOBAL ISSU,56,5,9
1080,2015,Fall,H SCI,A M D,376,MERCH PLAN& CONTROL,49,4,8
1095,2015,Fall,H SCI,A M D,415,TCHNICL DESIGN PROC,48,2,4
1101,2015,Fall,H SCI,A M D,426,CREATV DSIGN PROCES,10,2,20
1114,2015,Fall,H SCI,A M D,467,CONSUMER BEHAVIOR,70,2,3
1119,2015,Fall,H SCI,A M D,475,RETAIL INFO ANALYSI,44,0,0
1138,2015,Fall,H SCI,A M D,490C,IND STU TXTL&AP DSN,1,0,0
1148,2015,Fall,H SCI,A M D,490D,IND STDY AESTHETICS,6,0,0
1161,2015,Fall,H SCI,A M D,490H,INDEP STUDY HONORS,1,0,0
1168,2015,Fall,H SCI,A M D,490I,IND STDY MERCHANDSG,32,9,28
1179,2015,Fall,H SCI,A M D,490O,IND STDY TECH DESGN,14,1,7
1183,2015,Fall,H SCI,A M D,490Q,IND STDY QUAL ASSUR,1,0,0
1187,2015,Fall,H SCI,A M D,490T,IND STDY P R&PUBLSH,5,0,0
1193,2015,Fall,H SCI,A M D,490U,INDEP STDY PROD DEV,14,0,0
1201,2015,Fall,H SCI,A M D,495,SENIOR DSIGN STUDIO,42,0,0
1207,2015,Fall,H SCI,A M D,496,FASHN FORCAST&PRODC,32,0,0
1217,2015,Fall,H SCI,A TR,218,ORIE ATHL TRN EXPRC,92,33,36
1223,2015,Fall,H SCI,A TR,219,CLN PRACTM ATH TRNG,23,0,0
1229,2015,Fall,H SCI,A TR,220,BASIC ATHLETC TRAIN,63,5,8
1249,2015,Fall,H SCI,A TR,223,ATHL TRAIN CL PRACT,23,0,0
1264,2015,Fall,H SCI,A TR,226,EVAL ATHLE INJUR II,23,0,0
1269,2015,Fall,H SCI,A TR,227,ATH INJ II CLN PRAC,23,2,9
1279,2015,Fall,H SCI,A TR,323,THERAP MODALT ATHLE,22,0,0
1284,2015,Fall,H SCI,A TR,324,THERA MODALT PRACTM,22,0,0
1299,2015,Fall,H SCI,A TR,425,ADMIN ATHLET TRAING,21,0,0
1304,2015,Fall,H SCI,A TR,450,MED CNCRN ATHL TRNR,22,0,0
1352,2015,Fall,BUS,ACCT,215,LEGAL ENVIRONMT BUS,572,44,8
1398,2015,Fall,BUS,ACCT,284,FINANCIAL ACCOUNTNG,1186,275,23
1447,2015,Fall,BUS,ACCT,285,MANAGERIAL ACCOUNTG,685,123,18
1474,2015,Fall,BUS,ACCT,301,THE ACCOUNTNG CYCLE,172,37,22
1506,2015,Fall,BUS,ACCT,316,BUSINESS LAW,30,1,3
1544,2015,Fall,BUS,ACCT,383,INTMD MANAGERL ACCT,100,10,10
1579,2015,Fall,BUS,ACCT,384,ACCT INFO SYSTEMS,118,6,5
1622,2015,Fall,BUS,ACCT,386,INTMED ACCOUNTING I,110,28,25
1655,2015,Fall,BUS,ACCT,387,INTMD ACCOUNTING II,116,20,17
1676,2015,Fall,BUS,ACCT,484,ADV ACCT INFO SYSTM,22,4,18
1705,2015,Fall,BUS,ACCT,485,PRIN FED INCOME TAX,108,18,17
1742,2015,Fall,BUS,ACCT,488,NONPROFIT INST ACCT,40,1,3
1791,2015,Fall,BUS,ACCT,495,ADV ACCT PROBLEMS,25,1,4
1805,2015,Fall,BUS,ACCT,496,INTERNATIONAL ACCT,20,0,0
1851,2015,Fall,BUS,ACCT,497,INTRO TO AUDITING,67,4,6
1862,2015,Fall,BUS,ACCT,498,CAPSTONE IN ACCOUNT,16,0,0
