,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
198,2005,Spring,CALS,A E,110,EXPERNC AG&BIO ENGR,46,0,0
241,2005,Spring,CALS,A E,216,FND AG &BIOSYS ENGR,29,2,7
258,2005,Spring,CALS,A E,271,PARAM SLD MODEL ENG,18,1,6
280,2005,Spring,CALS,A E,272,PRO/ENG MOD&ASSEMBL,28,4,14
328,2005,Spring,CALS,A E,342,AGRI TRACTOR POWER,37,1,3
367,2005,Spring,CALS,A E,403,SYS MODELG&CONTROLS,4,0,0
412,2005,Spring,CALS,A E,415,AGRIC ENGR DESIGN I,6,1,17
434,2005,Spring,CALS,A E,416,AG ENGR DESIGN II,27,0,0
490,2005,Spring,CALS,A E,469,GRAIN PROCESS&HANDL,10,0,0
501,2005,Spring,CALS,A E,472,ENVIR MODIF SYS BIO,5,0,0
507,2005,Spring,CALS,A E,478,DESIGN AG STRUCTRES,19,1,5
522,2005,Spring,CALS,A E,490C,IND STD CPTR-A DSGN,4,1,25
529,2005,Spring,CALS,A E,490E,IND STD ENVIR SYSTS,3,0,0
538,2005,Spring,CALS,A E,490H,INDEP STUDY HONORS,2,0,0
546,2005,Spring,CALS,A E,490P,IND STDY POWR &MACH,5,0,0
576,2005,Spring,CALS,A E,490S,IND STD ENVIR&N RES,2,1,50
597,2005,Spring,CALS,A ECL,130,WILDLIFE&AGRICULTUR,43,3,7
601,2005,Spring,CALS,A ECL,211,ANIMAL ECOL CAREERS,37,0,0
638,2005,Spring,CALS,A ECL,321,FISH BIOLOGY,16,1,6
653,2005,Spring,CALS,A ECL,330,INTERPR NAT RESOURC,51,3,6
659,2005,Spring,CALS,A ECL,350,ECOLOG METHDS&ANALY,41,2,5
666,2005,Spring,CALS,A ECL,362,NATU HIST REPT&AMPH,25,3,12
669,2005,Spring,CALS,A ECL,363,NATURAL HIST BIRDS,43,2,5
675,2005,Spring,CALS,A ECL,364,NATURL HIST MAMMALS,19,2,11
716,2005,Spring,CALS,A ECL,401,INTR AQUAT ANIM MED,14,0,0
735,2005,Spring,CALS,A ECL,411,ID AQUATIC ORGANSMS,9,0,0
737,2005,Spring,CALS,A ECL,413,COMMUNTY ECOLGY&MGT,12,3,25
747,2005,Spring,CALS,A ECL,425,AQUATIC INSECTS,5,2,40
775,2005,Spring,CALS,A ECL,442,AQUACULTURE,10,0,0
1323,2005,Spring,BUS,ACCT,215,LEGAL ENVIRONMT BUS,397,23,6
1369,2005,Spring,BUS,ACCT,284,FINANCIAL ACCOUNTNG,750,114,15
1418,2005,Spring,BUS,ACCT,285,MANAGERIAL ACCOUNTG,497,125,25
1458,2005,Spring,BUS,ACCT,285H,HONORS MANAGERL ACC,9,0,0
1491,2005,Spring,BUS,ACCT,316,BUSINESS LAW,36,0,0
1515,2005,Spring,BUS,ACCT,383,INTMD MANAGERL ACCT,111,11,10
1559,2005,Spring,BUS,ACCT,384,ACCT INFO SYSTEMS,78,6,8
1593,2005,Spring,BUS,ACCT,386,INTMED ACCOUNTING I,89,6,7
1636,2005,Spring,BUS,ACCT,387,INTMD ACCOUNTING II,93,21,23
1686,2005,Spring,BUS,ACCT,485,PRIN FED INCOME TAX,50,9,18
1726,2005,Spring,BUS,ACCT,488,NONPROFIT INST ACCT,26,4,15
1772,2005,Spring,BUS,ACCT,495,ADV ACCT PROBLEMS,18,2,11
1822,2005,Spring,BUS,ACCT,497,INTRO TO AUDITING,60,3,5
1872,2005,Spring,LAS,ADVRT,230,ADVERTISING PRINCIP,227,19,8
1908,2005,Spring,LAS,ADVRT,301,STRATEG PLAN AD &PR,50,3,6
1948,2005,Spring,LAS,ADVRT,334,ADVERTSNG CREATIVTY,18,1,6
1979,2005,Spring,LAS,ADVRT,335,ADVERT MEDIA BUYING,27,1,4
2005,2005,Spring,LAS,ADVRT,336,AD MEDIA SALES &MGT,17,0,0
2036,2005,Spring,LAS,ADVRT,434,ADVERTISING CAMPGNS,20,2,10
2063,2005,Spring,LAS,ADVRT,435,ADV AD/PUB REL CAMP,37,0,0
2137,2005,Spring,ENGR,AER E,160,AEROSPAC ENG PROBLM,19,5,26
2183,2005,Spring,ENGR,AER E,161,NUM&GRAPH TCHNQ AER,104,13,13
2210,2005,Spring,ENGR,AER E,161H,HON NUM&GRAPH TCHNQ,15,0,0
2227,2005,Spring,ENGR,AER E,202,INSTRUMENTATION LAB,101,12,12
2229,2005,Spring,ENGR,AER E,202H,HONR INSTRUMNTN LAB,15,2,13
2234,2005,Spring,ENGR,AER E,243,AERODYNAMICS I,43,5,12
2254,2005,Spring,ENGR,AER E,243L,AERODYNAMICS LAB I,40,2,5
2268,2005,Spring,ENGR,AER E,261,INTRO AEROSPAC ENGR,19,0,0
2355,2005,Spring,ENGR,AER E,311,GAS DYNAMICS,77,2,3
2376,2005,Spring,ENGR,AER E,311L,GAS DYNAMICS LAB,75,1,1
2422,2005,Spring,ENGR,AER E,331,FLGHT CONTROL SYS I,79,10,13
2442,2005,Spring,ENGR,AER E,343,AERODYNAMICS II,70,2,3
2449,2005,Spring,ENGR,AER E,343L,AERODYNAMICS LAB II,70,1,1
2521,2005,Spring,ENGR,AER E,361,COMP TECHNQ AER DSN,56,2,4
2582,2005,Spring,ENGR,AER E,412,AER VEH PROPULSN II,19,2,11
2595,2005,Spring,ENGR,AER E,421,ADV FLIGHT STRUCTRS,69,4,6
