,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
233,2003,Fall,CALS,A E,203,CMPTR APPL&MODELING,46,6,13
254,2003,Fall,CALS,A E,271,PARAM SLD MODEL ENG,18,1,6
276,2003,Fall,CALS,A E,272,PRO/ENG MOD&ASSEMBL,30,1,3
338,2003,Fall,CALS,A E,363,ELEC POWR&ELECTRONC,33,1,3
358,2003,Fall,CALS,A E,401,SENIOR SEMINAR,22,0,0
372,2003,Fall,CALS,A E,404,A B E INSTRUMENTATN,10,0,0
383,2003,Fall,CALS,A E,405,GIS &NAT RESRCE MGT,1,1,100
398,2003,Fall,CALS,A E,413,FLUID PWR CIRCUITS,16,0,0
409,2003,Fall,CALS,A E,415,AGRIC ENGR DESIGN I,12,0,0
430,2003,Fall,CALS,A E,416,AG ENGR DESIGN II,6,0,0
479,2003,Fall,CALS,A E,441,CROP HARVESTING DYN,2,0,0
480,2003,Fall,CALS,A E,447,PWR&CONTROL HYDRAUL,18,2,11
518,2003,Fall,CALS,A E,490C,IND STD CPTR-A DSGN,5,0,0
527,2003,Fall,CALS,A E,490E,IND STD ENVIR SYSTS,1,0,0
542,2003,Fall,CALS,A E,490P,IND STDY POWR &MACH,1,0,0
561,2003,Fall,CALS,A E,490Q,IND STDY STRUCTURES,1,0,0
598,2003,Fall,CALS,A ECL,211,ANIMAL ECOL CAREERS,60,3,5
604,2003,Fall,CALS,A ECL,310,VERTEBRATE BIOLOGY,115,35,30
606,2003,Fall,CALS,A ECL,312,ECOLOGY,81,21,26
661,2003,Fall,CALS,A ECL,361,NATURAL HIST FISHES,27,2,7
671,2003,Fall,CALS,A ECL,364,NATURL HIST MAMMALS,30,3,10
730,2003,Fall,CALS,A ECL,410,AQUATIC ECOLOGY,10,1,10
732,2003,Fall,CALS,A ECL,410L,AQUATIC ECOLOGY LAB,7,3,43
754,2003,Fall,CALS,A ECL,430,MEDIA TECHQ INTRPRT,14,0,0
755,2003,Fall,CALS,A ECL,440,FISHERY MANAGEMENT,13,0,0
786,2003,Fall,CALS,A ECL,451,WILDLIFE MANAGEMENT,27,0,0
1317,2003,Fall,BUS,ACCT,215,LEGAL ENVIRONMT BUS,700,39,6
1363,2003,Fall,BUS,ACCT,284,FINANCIAL ACCOUNTNG,1008,152,15
1409,2003,Fall,BUS,ACCT,284H,HONORS FINANCL ACCT,14,0,0
1412,2003,Fall,BUS,ACCT,285,MANAGERIAL ACCOUNTG,603,129,21
1487,2003,Fall,BUS,ACCT,316,BUSINESS LAW,39,4,10
1509,2003,Fall,BUS,ACCT,383,INTMD MANAGERL ACCT,90,10,11
1555,2003,Fall,BUS,ACCT,384,ACCT INFO SYSTEMS,74,6,8
1587,2003,Fall,BUS,ACCT,386,INTMED ACCOUNTING I,135,23,17
1632,2003,Fall,BUS,ACCT,387,INTMD ACCOUNTING II,64,18,28
1681,2003,Fall,BUS,ACCT,485,PRIN FED INCOME TAX,45,4,9
1768,2003,Fall,BUS,ACCT,495,ADV ACCT PROBLEMS,31,8,26
1816,2003,Fall,BUS,ACCT,497,INTRO TO AUDITING,46,1,2
1868,2003,Fall,LAS,ADVRT,230,ADVERTISING PRINCIP,246,32,13
1902,2003,Fall,LAS,ADVRT,301,STRATEG PLAN AD &PR,54,5,9
1943,2003,Fall,LAS,ADVRT,334,ADVERTSNG CREATIVTY,19,2,11
1975,2003,Fall,LAS,ADVRT,335,ADVERT MEDIA BUYING,45,2,4
2032,2003,Fall,LAS,ADVRT,434,ADVERTISING CAMPGNS,37,3,8
2064,2003,Fall,LAS,ADVRT,436,AD PORTFLIO PRACTCM,15,5,33
2133,2003,Fall,ENGR,AER E,160,AEROSPAC ENG PROBLM,101,16,16
2163,2003,Fall,ENGR,AER E,160H,HONORS AER ENG PROB,19,0,0
2179,2003,Fall,ENGR,AER E,161,NUM&GRAPH TCHNQ AER,29,6,21
2224,2003,Fall,ENGR,AER E,202,INSTRUMENTATION LAB,73,11,15
2230,2003,Fall,ENGR,AER E,243,AERODYNAMICS I,41,17,41
2250,2003,Fall,ENGR,AER E,243L,AERODYNAMICS LAB I,30,1,3
2264,2003,Fall,ENGR,AER E,261,INTRO AEROSPAC ENGR,62,5,8
2294,2003,Fall,ENGR,AER E,265,SCI BALLOON ENGR&OP,9,0,0
2353,2003,Fall,ENGR,AER E,311,GAS DYNAMICS,38,1,3
2374,2003,Fall,ENGR,AER E,311L,GAS DYNAMICS LAB,34,0,0
2383,2003,Fall,ENGR,AER E,321,FLIGHT STRUCT ANALY,80,11,14
2468,2003,Fall,ENGR,AER E,351,ASTRODYNAMICS I,74,10,14
2496,2003,Fall,ENGR,AER E,355,AIRCRFT FLI DYN&CTL,79,0,0
2517,2003,Fall,ENGR,AER E,361,COMP TECHNQ AER DSN,21,2,10
2621,2003,Fall,ENGR,AER E,423,COMPOSITE FLT STRUC,37,1,3
2667,2003,Fall,ENGR,AER E,446,COMPUT FLUID DYNAM,29,12,41
2687,2003,Fall,ENGR,AER E,451,ASTRODYNAMICS II,41,0,0
2718,2003,Fall,ENGR,AER E,461,MOD DESIGN METHODOL,45,0,0
2748,2003,Fall,ENGR,AER E,462,DESIGN AEROSPAC SYS,14,0,0
2907,2003,Fall,ENGR,AER E,490E,IND STD SPACECR SYS,8,0,0
2978,2003,Fall,ENGR,AER E,490I,INDEP STUDY DESIGN,2,0,0
3052,2003,Fall,ENGR,AER E,499,SENIOR PROJECT,3,0,0
3611,2003,Fall,INDIS,AF AM,201,INTRO AFRIC AMER ST,57,5,9
3656,2003,Fall,INDIS,AF AM,330,ETHNIC&RACE RELATNS,11,1,9
3697,2003,Fall,INDIS,AF AM,334,AFRI AMER RELIG EXP,8,0,0
3709,2003,Fall,INDIS,AF AM,347,SURVEY AFRIC AM LIT,4,0,0
3765,2003,Fall,INDIS,AF AM,490,INDEPENDENT STUDY,1,0,0
3770,2003,Fall,LAS,AFAS,101,LEADERSHIP LAB I,46,3,7
3800,2003,Fall,LAS,AFAS,141,U S AIR FORCE TODAY,46,2,4
3850,2003,Fall,LAS,AFAS,201,LEADERSHIP LAB II,41,1,2
3880,2003,Fall,LAS,AFAS,241,AIR POWER DEVELOPMT,54,6,11
3910,2003,Fall,LAS,AFAS,301,LEADERSHIP LAB III,29,2,7
3940,2003,Fall,LAS,AFAS,341,AIR F MGT&LEADERSHP,31,1,3
3970,2003,Fall,LAS,AFAS,401,LEADERSHIP LAB IV,21,2,10
4000,2003,Fall,LAS,AFAS,441,NATL SECURITY FORCE,22,0,0
4030,2003,Fall,CALS,AGEDS,110A,ORIENTATION AGRI ED,21,0,0
4045,2003,Fall,CALS,AGEDS,110B,ORIENTATION AGRI ST,44,1,2
4060,2003,Fall,CALS,AGEDS,110C,ORIENT GENERAL AGRI,26,0,0
4085,2003,Fall,CALS,AGEDS,111,ORIENT AG SCHOLARS,7,0,0
4119,2003,Fall,CALS,AGEDS,113X,ACCESS TO SUCCESS,5,0,0
4134,2003,Fall,CALS,AGEDS,211A,FIELD EXP HIGH SCHL,7,1,14
4166,2003,Fall,CALS,AGEDS,211B,FIELD EXP EXTENSION,2,1,50
4176,2003,Fall,CALS,AGEDS,211C,FIELD EXP AG INDUST,4,0,0
4211,2003,Fall,CALS,AGEDS,215,CAREER SEMINAR,66,0,0
4242,2003,Fall,CALS,AGEDS,290,SPECIAL PROBLEMS,4,0,0
4256,2003,Fall,CALS,AGEDS,310,FOUND AG ED PROGRMS,19,2,11
4286,2003,Fall,CALS,AGEDS,311,PRESENTN STRATEGIES,98,0,0
4350,2003,Fall,CALS,AGEDS,315,LEADERSHIP IN AGRIC,65,7,11
