,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
204,2011,Spring,CALS,A E,110,EXPERNC AG&BIO ENGR,34,2,6
210,2011,Fall,CALS,A E,170,ENG GRPHC&INTRO DSN,54,3,6
217,2011,Spring,CALS,A E,170X,ENG GRPHC&INTRO DSN,12,0,0
226,2011,Fall,CALS,A E,201,SMNR:PREP FOR WRKPL,17,1,6
227,2011,Spring,CALS,A E,201,ENTREPRN&INTERN SEM,17,1,6
247,2011,Fall,CALS,A E,216,FND AG &BIOSYS ENGR,26,5,19
248,2011,Spring,CALS,A E,216,FND AG &BIOSYS ENGR,25,2,8
269,2011,Fall,CALS,A E,271,PARAM SLD MODEL ENG,21,1,5
270,2011,Spring,CALS,A E,271,PARAM SLD MODEL ENG,18,0,0
291,2011,Fall,CALS,A E,272,PRO/ENG MOD&ASSEMBL,20,4,20
292,2011,Spring,CALS,A E,272,PRO/ENG MOD&ASSEMBL,21,2,10
308,2011,Fall,CALS,A E,316,APPLD NUMRCL METHDS,23,1,4
313,2011,Fall,CALS,A E,325,BIORENEWABLE SYSTMS,14,0,0
324,2011,Fall,CALS,A E,340,ANALY&DS FIELD MACH,24,1,4
334,2011,Spring,CALS,A E,342,AGRI TRACTOR POWER,37,1,3
346,2011,Fall,CALS,A E,363,ELEC POWR&ELECTRONC,28,0,0
353,2011,Fall,CALS,A E,388,SUSTNBL E&INT'L DEV,3,0,0
370,2011,Spring,CALS,A E,403,SYS MODELG&CONTROLS,1,0,0
380,2011,Fall,CALS,A E,404,A B E INSTRUMENTATN,38,1,3
388,2011,Fall,CALS,A E,408,GIS &NAT RESRCE MGT,5,4,80
395,2011,Spring,CALS,A E,410X,ELTRN SYS INTGRT AG,7,0,0
406,2011,Fall,CALS,A E,413,FLUID POWER ENGR,39,1,3
423,2011,Fall,CALS,A E,415,AGRIC ENGR DESIGN I,26,0,0
424,2011,Spring,CALS,A E,415,AGRIC ENGR DESIGN I,7,0,0
445,2011,Fall,CALS,A E,416,AG ENGR DESIGN II,8,0,0
446,2011,Spring,CALS,A E,416,AG ENGR DESIGN II,15,0,0
468,2011,Fall,CALS,A E,431,SOIL&WTR CONSRVSYS,14,2,14
474,2011,Spring,CALS,A E,432X,NONPNT SRC POLLU&CN,4,1,25
486,2011,Spring,CALS,A E,466,MULTIDISC ENGR DSGN,1,0,0
496,2011,Spring,CALS,A E,469,GRAIN PROCESS&HANDL,14,0,0
510,2011,Spring,CALS,A E,478,WOOD-FRM STRUC DSGN,15,1,7
536,2011,Summer,CALS,A E,490E,IND STU ENVIR SYSTS,1,0,0
537,2011,Fall,CALS,A E,490F,IND STUDY FOOD ENGR,1,0,0
557,2011,Spring,CALS,A E,490P,IND STDY POWER ENGR,1,0,0
585,2011,Fall,CALS,A E,490S,IND STU ENVIR&N RES,2,0,0
586,2011,Spring,CALS,A E,490S,IND STU ENVIR&N RES,9,0,0
593,2011,Summer,CALS,A E,496C,A E&BIOS POST-TRAVL,2,0,0
621,2011,Summer,CALS,A ECL,312,ECOLOGY,11,3,27
622,2011,Fall,CALS,A ECL,312,ECOLOGY,88,24,27
644,2011,Spring,CALS,A ECL,321,FISH BIOLOGY,14,1,7
683,2011,Fall,CALS,A ECL,365,VERTEBRATE BIOLOGY,118,42,36
693,2011,Spring,CALS,A ECL,366,NAT HIST IOWA VERTE,43,1,2
708,2011,Fall,CALS,A ECL,371,ECOLOGICAL METHODS,27,4,15
722,2011,Spring,CALS,A ECL,401,INTR AQUAT ANIM MED,8,1,13
743,2011,Fall,CALS,A ECL,418,STREAM ECOLOGY,13,1,8
750,2011,Spring,CALS,A ECL,425,AQUATIC INSECTS,3,0,0
763,2011,Fall,CALS,A ECL,440,FISHERY MANAGEMENT,11,0,0
780,2011,Spring,CALS,A ECL,442,AQUACULTURE,6,0,0
794,2011,Fall,CALS,A ECL,451,WILDLIFE ECOL &MGMT,34,1,3
812,2011,Spring,CALS,A ECL,454X,PRIN WILDLIF DISEAS,32,1,3
830,2011,Spring,CALS,A ECL,458,ORNITHOLOGY,23,4,17
847,2011,Spring,CALS,A ECL,459,MAMMALOGY,39,3,8
866,2011,Summer,CALS,A ECL,486,AQUATIC ECOLOGY,4,0,0
867,2011,Fall,CALS,A ECL,486,AQUATIC ECOLOGY,15,4,27
884,2011,Fall,CALS,A ECL,486L,AQUATIC ECOLOGY LAB,14,2,14
1339,2011,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,33,2,6
1340,2011,Fall,BUS,ACCT,215,LEGAL ENVIRONMT BUS,362,33,9
1341,2011,Spring,BUS,ACCT,215,LEGAL ENVIRONMT BUS,469,25,5
1385,2011,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,69,17,25
1386,2011,Fall,BUS,ACCT,284,FINANCIAL ACCOUNTNG,1008,173,17
1387,2011,Spring,BUS,ACCT,284,FINANCIAL ACCOUNTNG,805,146,18
1434,2011,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,42,7,17
1435,2011,Fall,BUS,ACCT,285,MANAGERIAL ACCOUNTG,493,66,13
1436,2011,Spring,BUS,ACCT,285,MANAGERIAL ACCOUNTG,487,66,14
1463,2011,Fall,BUS,ACCT,301,THE ACCOUNTNG CYCLE,190,32,17
1484,2011,Summer,BUS,ACCT,301X,THE ACCOUNTNG CYCLE,12,3,25
1502,2011,Fall,BUS,ACCT,316,BUSINESS LAW,13,0,0
1531,2011,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,31,3,10
1532,2011,Fall,BUS,ACCT,383,INTMD MANAGERL ACCT,143,15,10
1533,2011,Spring,BUS,ACCT,383,INTMD MANAGERL ACCT,126,7,6
1571,2011,Fall,BUS,ACCT,384,ACCT INFO SYSTEMS,124,12,10
1572,2011,Spring,BUS,ACCT,384,ACCT INFO SYSTEMS,129,17,13
1609,2011,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,33,3,9
1610,2011,Fall,BUS,ACCT,386,INTMED ACCOUNTING I,141,23,16
1611,2011,Spring,BUS,ACCT,386,INTMED ACCOUNTING I,135,24,18
1647,2011,Fall,BUS,ACCT,387,INTMD ACCOUNTING II,123,26,21
1648,2011,Spring,BUS,ACCT,387,INTMD ACCOUNTING II,86,14,16
1663,2011,Spring,BUS,ACCT,483,ADV MANAGERIAL ACCT,19,1,5
1672,2011,Fall,BUS,ACCT,484,ADV ACCT INFO SYSTM,12,2,17
1697,2011,Fall,BUS,ACCT,485,PRIN FED INCOME TAX,108,29,27
1698,2011,Spring,BUS,ACCT,485,PRIN FED INCOME TAX,90,19,21
1713,2011,Spring,BUS,ACCT,486,VOLUN INCM TAX ASSI,23,5,22
1736,2011,Fall,BUS,ACCT,488,NONPROFIT INST ACCT,21,2,10
1737,2011,Spring,BUS,ACCT,488,NONPROFIT INST ACCT,22,3,14
1783,2011,Fall,BUS,ACCT,495,ADV ACCT PROBLEMS,15,2,13
1784,2011,Spring,BUS,ACCT,495,ADV ACCT PROBLEMS,21,5,24
1798,2011,Fall,BUS,ACCT,496,INTERNATIONAL ACCT,11,0,0
1815,2011,Spring,BUS,ACCT,496X,INTERNATIONAL ACCT,27,0,0
1838,2011,Summer,BUS,ACCT,497,INTRO TO AUDITING,24,2,8
1839,2011,Fall,BUS,ACCT,497,INTRO TO AUDITING,52,5,10
1840,2011,Spring,BUS,ACCT,497,INTRO TO AUDITING,101,1,1
1884,2011,Summer,LAS,ADVRT,230,ADVERTISING PRINCIP,30,2,7
1885,2011,Fall,LAS,ADVRT,230,ADVERTISING PRINCIP,234,49,21
1886,2011,Spring,LAS,ADVRT,230,ADVERTISING PRINCIP,219,22,10
1923,2011,Fall,LAS,ADVRT,301,STRATEG PLAN AD&P.R,84,5,6
1924,2011,Spring,LAS,ADVRT,301,STRATEG PLAN AD&P R,78,4,5
1960,2011,Fall,LAS,ADVRT,334,ADVERTSNG CREATIVTY,36,1,3
1961,2011,Spring,LAS,ADVRT,334,ADVERTSNG CREATIVTY,16,0,0
1990,2011,Fall,LAS,ADVRT,335,ADVERT MEDIA PLANNG,25,2,8
1991,2011,Spring,LAS,ADVRT,335,ADVERT MEDIA PLANNG,26,4,15
2011,2011,Fall,LAS,ADVRT,336,ADVERT ACCOUNT MGMT,19,2,11
2012,2011,Spring,LAS,ADVRT,336,ADVERT ACCOUNT MGMT,19,2,11
2029,2011,Spring,LAS,ADVRT,390J,SKIL DEV:FSHION WRI,1,0,0
2047,2011,Fall,LAS,ADVRT,434,ADVERTISING CAMPGNS,28,1,4
2048,2011,Spring,LAS,ADVRT,434,ADVERTISING CAMPGNS,22,0,0
2071,2011,Spring,LAS,ADVRT,436,AD PORTFLIO PRACTCM,16,0,0
2087,2011,Spring,LAS,ADVRT,497A,SPL TOP CREATV COMM,33,3,9
2090,2011,Fall,LAS,ADVRT,497B,SPL TP CORP COMM CS,7,0,0
2148,2011,Fall,ENGR,AER E,160,AEROSPAC ENG PROBLM,141,8,6
2149,2011,Spring,ENGR,AER E,160,AEROSPAC ENG PROBLM,19,6,32
2172,2011,Fall,ENGR,AER E,160H,HONORS AER ENG PROB,85,2,2
2194,2011,Fall,ENGR,AER E,161,NUM&GRAPHC&LAB TCNQ,22,6,27
2195,2011,Spring,ENGR,AER E,161,NUM&GRAPHC&LAB TCNQ,87,8,9
2216,2011,Spring,ENGR,AER E,161H,HONOR NUM&GRPH TCNQ,71,9,13
2245,2011,Fall,ENGR,AER E,243,AERODYNAMICS I,42,6,14
2246,2011,Spring,ENGR,AER E,243,AERODYNAMICS I,81,7,9
2279,2011,Fall,ENGR,AER E,261,INTRO PERFRMNC&DSGN,122,28,23
2280,2011,Spring,ENGR,AER E,261,INTRO AEROSPAC ENGR,39,9,23
2305,2011,Spring,ENGR,AER E,265,SCI BALLOON ENGR&OP,5,0,0
2320,2011,Fall,ENGR,AER E,290C,INDEPENDENT STUDY,103,10,10
2321,2011,Spring,ENGR,AER E,290C,INDEPENDENT STUDY,65,6,9
2361,2011,Spring,ENGR,AER E,311,GAS DYNAMICS,98,9,9
2392,2011,Fall,ENGR,AER E,321,FLIGHT STRUCT ANALY,106,12,11
2393,2011,Spring,ENGR,AER E,321,FLIGHT STRUCT ANALY,16,5,31
2408,2011,Spring,ENGR,AER E,321L,AEROSPC STRUCTR LAB,75,5,7
2428,2011,Spring,ENGR,AER E,331,FLGHT CONTROL SYS I,92,15,16
2467,2011,Spring,ENGR,AER E,344X,AERODYN&PROPULS LAB,52,3,6
2478,2011,Fall,ENGR,AER E,351,ASTRODYNAMICS I,83,10,12
2479,2011,Spring,ENGR,AER E,351,ASTRODYNAMICS I,19,3,16
2504,2011,Fall,ENGR,AER E,355,AIRCRFT FLI DYN&CTL,115,18,16
2532,2011,Fall,ENGR,AER E,361,COMP TECHNQ AER DSN,23,9,39
2533,2011,Spring,ENGR,AER E,361,COMP TECHNQ AER DSN,70,8,11
2553,2011,Fall,ENGR,AER E,381,INTRO WIND ENERGY,1,0,0
2560,2011,Spring,ENGR,AER E,381X,INTRO WIND ENERGY,50,16,32
2569,2011,Fall,ENGR,AER E,411,AERO VEHIC PROPUL I,98,4,4
2601,2011,Spring,ENGR,AER E,421,ADV FLIGHT STRUCTRS,102,8,8
2629,2011,Fall,ENGR,AER E,423,COMPOSITE FLT STRUC,47,1,2
2642,2011,Spring,ENGR,AER E,426,DSIGN AEROSP STRUCT,24,1,4
2651,2011,Fall,ENGR,AER E,432,FLT CONTROL SYST II,11,0,0
2654,2011,Fall,ENGR,AER E,433X,SPACCRFT DYNM&CNTRL,12,2,17
2661,2011,Fall,ENGR,AER E,442,V/STOL AERODYN&PERF,33,2,6
2675,2011,Fall,ENGR,AER E,446,COMP FLUID MCH&HT I,26,4,15
2700,2011,Fall,ENGR,AER E,451,ASTRODYNAMICS II,15,1,7
2701,2011,Spring,ENGR,AER E,451,ASTRODYNAMICS II,9,2,22
2733,2011,Fall,ENGR,AER E,461,MOD DESIGN METHODOL,76,1,1
2734,2011,Spring,ENGR,AER E,461,MOD DESIGN METHODOL,20,0,0
2763,2011,Fall,ENGR,AER E,462,DESIGN AEROSPAC SYS,22,0,0
2764,2011,Spring,ENGR,AER E,462,DESIGN AEROSPAC SYS,44,0,0
2790,2011,Spring,ENGR,AER E,464,SPACECRAFT SYSTEMS,14,1,7
2803,2011,Fall,ENGR,AER E,466,MULTIDISC ENGR DSGN,16,0,0
2804,2011,Spring,ENGR,AER E,466,MULTIDISC ENGR DSGN,5,0,0
2814,2011,Spring,ENGR,AER E,467X,MLTDISC ENGR DSN II,3,0,0
2841,2011,Fall,ENGR,AER E,490A,IND STU A/GAS DYNAM,11,2,18
2842,2011,Spring,ENGR,AER E,490A,IND STU A/GAS DYNAM,51,1,2
2881,2011,Fall,ENGR,AER E,490C,IND STU AEROS STRUC,2,0,0
2882,2011,Spring,ENGR,AER E,490C,IND STU AEROS STRUC,31,1,3
2902,2011,Fall,ENGR,AER E,490D,IND STU FLIGHT DYNA,1,1,100
2916,2011,Fall,ENGR,AER E,490E,IND STU SPACECR SYS,52,1,2
2917,2011,Spring,ENGR,AER E,490E,IND STU SPACECR SYS,14,0,0
2943,2011,Spring,ENGR,AER E,490F,IND ST FLT CONT SYS,2,0,0
2968,2011,Fall,ENGR,AER E,490H,INDEP STUDY HONORS,2,0,0
2969,2011,Spring,ENGR,AER E,490H,INDEP STUDY HONORS,2,0,0
3004,2011,Fall,ENGR,AER E,490J,IND STU NONDESTR EV,5,0,0
3005,2011,Spring,ENGR,AER E,490J,IND STU NONDESTR EV,2,0,0
3031,2011,Fall,ENGR,AER E,490O,INDEPENDENT STUDY,34,0,0
3032,2011,Spring,ENGR,AER E,490O,INDEPENDENT STUDY,16,1,6
3060,2011,Fall,ENGR,AER E,499,SENIOR PROJECT,1,1,100
3065,2011,Fall,H SCI,AESHM,111,PRO DEVEL FOR AESHM,240,25,10
3066,2011,Spring,H SCI,AESHM,111,PRO DEVEL FOR AESHM,81,12,15
3093,2011,Fall,H SCI,AESHM,170D,SUPV WRK EXP I:HSPY,2,1,50
3114,2011,Fall,H SCI,AESHM,170F,SUPV WRK EXP I:EVNT,6,0,0
3135,2011,Fall,H SCI,AESHM,170N,SUP WRK EXP I:APPAR,1,0,0
3167,2011,Spring,H SCI,AESHM,175X,FIN APP RETAIL&HOSP,36,2,6
3223,2011,Fall,H SCI,AESHM,270N,SUP WRK EXP II:APPA,1,0,0
3249,2011,Summer,H SCI,AESHM,271,P R & EVENT MANAGMT,37,4,11
3250,2011,Fall,H SCI,AESHM,271,P R & EVENT MGMT I,143,9,6
3251,2011,Spring,H SCI,AESHM,271,P R & EVENT MANAGMT,76,0,0
3268,2011,Fall,H SCI,AESHM,275,MERCHANDISING,96,6,6
3269,2011,Spring,H SCI,AESHM,275,MERCHANDISING,95,6,6
3293,2011,Fall,H SCI,AESHM,287,PRIN MGMT HUMAN SCI,104,3,3
3294,2011,Spring,H SCI,AESHM,287,PRIN MGMT HUMAN SCI,85,4,5
3311,2011,Fall,H SCI,AESHM,311,SEM CAREERS&INTERNS,98,5,5
3312,2011,Spring,H SCI,AESHM,311,SEM CAREERS&INTERNS,127,8,6
3332,2011,Fall,H SCI,AESHM,340,HSPTY&APPARL MARKTG,98,4,4
3354,2011,Summer,H SCI,AESHM,342,AESTHETC OF EVERYDY,59,13,22
3355,2011,Fall,H SCI,AESHM,342,AESTHTCS CNSMR EXPC,60,5,8
3356,2011,Spring,H SCI,AESHM,342,AESTHETC OF EVERYDY,97,7,7
3377,2011,Fall,H SCI,AESHM,371,CONFRNC&MTG PLANNNG,58,5,9
3379,2011,Fall,H SCI,AESHM,377,BRAND MGMT&PROMOTNS,49,0,0
3391,2011,Fall,H SCI,AESHM,379,COMMUNITY LEADERSHP,34,1,3
3396,2011,Fall,H SCI,AESHM,380,U.S. FIELD STUDY,23,0,0
3452,2011,Spring,H SCI,AESHM,421,DEV GLOBAL LEADRSHP,29,0,0
3460,2011,Spring,H SCI,AESHM,438,HUMAN RESOURCE MGMT,44,2,5
3500,2011,Fall,H SCI,AESHM,470F,INTERNSHP EVENT MGT,4,1,25
3521,2011,Fall,H SCI,AESHM,470I,INTERN TXTL&AP DSGN,5,0,0
3533,2011,Fall,H SCI,AESHM,470L,INTERNSHP P R&PBLSH,2,0,0
3538,2011,Fall,H SCI,AESHM,470N,INTERNSHIP APPAREL,1,0,0
3569,2011,Fall,H SCI,AESHM,471,SPCIAL EVENTS COORD,17,2,12
3570,2011,Spring,H SCI,AESHM,471,P R & EVENT MGMT II,26,0,0
3586,2011,Spring,H SCI,AESHM,474,ENTREPRNR HUMAN SCI,68,3,4
3602,2011,Fall,H SCI,AESHM,477,MLTI-CHANNL RETAILI,37,4,11
3627,2011,Summer,INDIS,AF AM,201,INTRO AFRIC AMER ST,37,7,19
3628,2011,Fall,INDIS,AF AM,201,INTRO AFRIC AMER ST,131,28,21
3629,2011,Spring,INDIS,AF AM,201,INTRO AFRIC AMER ST,93,9,10
3677,2011,Fall,INDIS,AF AM,330,ETHNIC&RACE RELATNS,17,1,6
3678,2011,Spring,INDIS,AF AM,330,ETHNIC&RACE RELATNS,21,5,24
3702,2011,Spring,INDIS,AF AM,334,AFRI AMER RELIG EXP,4,1,25
3730,2011,Fall,INDIS,AF AM,350,WOMEN OF COLOR--U.S,7,2,29
3750,2011,Fall,INDIS,AF AM,354,HIST AFRICN AMER II,7,1,14
3754,2011,Spring,INDIS,AF AM,447X,SLVRY RACISM LNCHNG,11,3,27
3778,2011,Fall,LAS,AFAS,101,INTRO LEADRSH LAB I,49,10,20
3791,2011,Spring,LAS,AFAS,102,LEADERSHIP LAB I,22,2,9
3808,2011,Fall,LAS,AFAS,141,FOUND U S AIR FORCE,51,5,10
3822,2011,Spring,LAS,AFAS,142,FOUND U S AIR FORCE,25,1,4
3833,2011,Fall,LAS,AFAS,151,AIR FRC PHYS TRAINI,97,10,10
3834,2011,Spring,LAS,AFAS,151,AIR FRC PHYS TRAINI,59,1,2
3858,2011,Fall,LAS,AFAS,201,BASIC LEADRSH LAB I,23,0,0
3871,2011,Spring,LAS,AFAS,202,LEADERSHIP LAB II,19,1,5
3888,2011,Fall,LAS,AFAS,241,EVOL USAF AIR POWER,23,0,0
3902,2011,Spring,LAS,AFAS,242,EVOL USAF AIR POWER,24,0,0
3918,2011,Fall,LAS,AFAS,301,INTMD LEADRSH LAB I,13,0,0
3931,2011,Spring,LAS,AFAS,302,LEADERSHIP LAB III,10,0,0
3948,2011,Fall,LAS,AFAS,341,AIR F LDRSHP STDI I,23,3,13
3962,2011,Spring,LAS,AFAS,342,AIR F LDRSHP STU II,18,0,0
3978,2011,Fall,LAS,AFAS,401,ADV LEADERSHP LAB I,11,1,9
3991,2011,Spring,LAS,AFAS,402,LEADERSHIP LAB IV,12,0,0
4008,2011,Fall,LAS,AFAS,441,PREPARATN ACTV DUTY,13,1,8
4022,2011,Spring,LAS,AFAS,442,NATIONAL SECURITY,17,0,0
4038,2011,Fall,CALS,AGEDS,110A,ORIENT AG &LIFE ED,30,0,0
4053,2011,Fall,CALS,AGEDS,110B,ORIENTATION AGRI ST,88,2,2
4070,2011,Fall,CALS,AGEDS,110C,ORIENT AG &LIFE SCI,37,1,3
4071,2011,Spring,CALS,AGEDS,110C,ORIENT GENERAL AGRI,12,2,17
4093,2011,Fall,CALS,AGEDS,111,DEAN'S LDRSHP SEMNR,14,0,0
4107,2011,Spring,CALS,AGEDS,112,AG BIOTECHN COLLOQ,10,0,0
4115,2011,Fall,CALS,AGEDS,113,SUCCESS SEMINAR I,16,0,0
4124,2011,Spring,CALS,AGEDS,113X,SUCCESS SEMINAR I,11,0,0
4132,2011,Fall,CALS,AGEDS,116X,INITIAL FLD EXPRNCE,21,0,0
4150,2011,Fall,CALS,AGEDS,211A,FIELD EXP H.S. AGRI,13,3,23
4151,2011,Spring,CALS,AGEDS,211A,FIELD EXP H.S. AGRI,22,7,32
4175,2011,Spring,CALS,AGEDS,211B,FIELD EXP EXTENSION,2,1,50
4192,2011,Summer,CALS,AGEDS,211C,FIELD EXP AG INDUST,3,0,0
4193,2011,Fall,CALS,AGEDS,211C,FIELD EXP AG INDUST,9,3,33
4194,2011,Spring,CALS,AGEDS,211C,FIELD EXP AG INDUST,14,4,29
4226,2011,Fall,CALS,AGEDS,215,CAREER SEMINAR,72,4,6
4227,2011,Spring,CALS,AGEDS,215,CAREER SEMINAR,48,1,2
4255,2011,Summer,CALS,AGEDS,290,SPECIAL PROBLEMS,1,0,0
4271,2011,Fall,CALS,AGEDS,310,FOUND AG ED PROGRMS,25,1,4
4272,2011,Spring,CALS,AGEDS,310,FOUND AG ED PROGRMS,10,1,10
4305,2011,Summer,CALS,AGEDS,311,PRESENTN STRATEGIES,28,5,18
4306,2011,Fall,CALS,AGEDS,311,PRESENTN STRATEGIES,133,15,11
4307,2011,Spring,CALS,AGEDS,311,PRESENTN STRATEGIES,77,3,4
4329,2011,Fall,CALS,AGEDS,312,SCI WITH PRACTICE,14,0,0
4330,2011,Spring,CALS,AGEDS,312,SCI WITH PRACTICE,16,0,0
4365,2011,Summer,CALS,AGEDS,315,LEADERSHIP IN AGRIC,4,0,0
4366,2011,Fall,CALS,AGEDS,315,LEADERSHIP IN AGRIC,61,5,8
4367,2011,Spring,CALS,AGEDS,315,LEADERSHIP IN AGRIC,51,5,10
4388,2011,Fall,CALS,AGEDS,327,ADV COMM AG&LIF SCI,55,6,11
4405,2011,Spring,CALS,AGEDS,327X,ADV COMM AG&LIF SCI,31,5,16
4430,2011,Fall,CALS,AGEDS,401,PLAN AG ED PROGRAMS,31,2,6
4445,2011,Fall,CALS,AGEDS,402,METHODS TEACHING AG,31,0,0
4474,2011,Summer,CALS,AGEDS,412,INTERNSHIP IN AGEDS,3,0,0
4475,2011,Fall,CALS,AGEDS,412,INTERNSHIP IN AGEDS,10,1,10
4476,2011,Spring,CALS,AGEDS,412,INTERNSHIP IN AGEDS,1,1,100
4498,2011,Spring,CALS,AGEDS,414,NONFORMAL AG ED PRG,3,0,0
4517,2011,Fall,CALS,AGEDS,416,PRE-STDT TCHG EXPER,3,0,0
4518,2011,Spring,CALS,AGEDS,416,PRE-STDT TCHG EXPER,17,0,0
4545,2011,Fall,CALS,AGEDS,417,SUPRV TEACHNG IN AG,3,0,0
4546,2011,Spring,CALS,AGEDS,417,SUPRV TEACHNG IN AG,18,0,0
4586,2011,Summer,CALS,AGEDS,450,FARM MGMT&OPERATION,15,0,0
4587,2011,Fall,CALS,AGEDS,450,FARM MGMT&OPERATION,37,0,0
4588,2011,Spring,CALS,AGEDS,450,FARM MGMT&OPERATION,44,0,0
4613,2011,Spring,CALS,AGEDS,451,AGRICULTURAL LAW,32,1,3
4643,2011,Fall,CALS,AGEDS,475X,AG MKTG&COMM COMPET,25,1,4
4651,2011,Fall,CALS,AGEDS,488,MTHDS TCHG AG MECHN,17,0,0
4652,2011,Spring,CALS,AGEDS,488,MTHDS TCHG AG MECHN,12,0,0
