,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
236,2005,Fall,CALS,A E,203,CMPTR APPL&MODELING,44,7,16
257,2005,Fall,CALS,A E,271,PARAM SLD MODEL ENG,24,3,13
279,2005,Fall,CALS,A E,272,PRO/ENG MOD&ASSEMBL,27,3,11
318,2005,Fall,CALS,A E,340,ANALY&DS FIELD MACH,31,1,3
340,2005,Fall,CALS,A E,363,ELEC POWR&ELECTRONC,28,1,4
356,2005,Fall,CALS,A E,388X,SUSTNBL E&INT'L DEV,2,0,0
360,2005,Fall,CALS,A E,401,SENIOR SEMINAR,27,0,0
374,2005,Fall,CALS,A E,404,A B E INSTRUMENTATN,24,0,0
400,2005,Fall,CALS,A E,413,FLUID POWER ENGR,23,2,9
411,2005,Fall,CALS,A E,415,AGRIC ENGR DESIGN I,19,0,0
433,2005,Fall,CALS,A E,416,AG ENGR DESIGN II,6,0,0
462,2005,Fall,CALS,A E,431,NAT RESOURC CONSERV,11,1,9
521,2005,Fall,CALS,A E,490C,IND STD CPTR-A DSGN,4,0,0
545,2005,Fall,CALS,A E,490P,IND STDY POWER ENGR,5,0,0
575,2005,Fall,CALS,A E,490S,IND STD ENVIR&N RES,2,0,0
610,2005,Fall,CALS,A ECL,312,ECOLOGY,64,18,28
660,2005,Fall,CALS,A ECL,360,NAT HIST AQUA BIOTA,16,2,13
663,2005,Fall,CALS,A ECL,361,NATURAL HIST FISHES,31,1,3
674,2005,Fall,CALS,A ECL,364,NATURL HIST MAMMALS,34,1,3
677,2005,Fall,CALS,A ECL,365,VERTEBRATE BIOLOGY,76,25,33
757,2005,Fall,CALS,A ECL,440,FISHERY MANAGEMENT,10,0,0
788,2005,Fall,CALS,A ECL,451,WILDLIFE ECOL &MGMT,31,2,6
861,2005,Fall,CALS,A ECL,486,AQUATIC ECOLOGY,15,2,13
878,2005,Fall,CALS,A ECL,486L,AQUATIC ECOLOGY LAB,13,2,15
1322,2005,Fall,BUS,ACCT,215,LEGAL ENVIRONMT BUS,557,36,6
1368,2005,Fall,BUS,ACCT,284,FINANCIAL ACCOUNTNG,754,56,7
1410,2005,Fall,BUS,ACCT,284H,HONORS FINANCL ACCT,10,1,10
1417,2005,Fall,BUS,ACCT,285,MANAGERIAL ACCOUNTG,422,99,23
